	 181759
isoprenoid biosynthetic process	 86
ergosterol biosynthetic process	 10
phosphorylation of RNA polymerase II C-terminal domain	 2
carnitine O-acetyltransferase activity	 1
chromaffin granule membrane	 3
nuclear envelope	 64
hyaline layer	 18
meiotic metaphase I plate congression	 1
ammonia assimilation cycle	 3
nucleoside triphosphate catabolic process	 8
intracellular organelle	 4
abaxial cell fate specification	 1
actin cytoskeleton	 129
3'-phosphoadenosine 5'-phosphosulfate metabolic process	 4
protein-disulfide reductase activity	 9
detection of mechanical stimulus involved in sensory perception of sound	 15
alpha-mannosidase activity	 21
Gram-negative bacterial cell surface binding	 12
polygalacturonase activity	 6
response to oleic acid	 1
pharyngeal system development	 3
neuropeptide Y receptor activity	 1
regulation of appetite	 1
protein unfolding	 14
fatty-acyl-CoA biosynthetic process	 2
morphogenesis of embryonic epithelium	 9
threo-3-hydroxyaspartate ammonia-lyase activity	 1
cytoskeletal protein binding	 58
embryo implantation	 25
germ-line stem cell division	 4
forebrain radial glial cell differentiation	 11
imaginal disc-derived wing vein morphogenesis	 7
propionate-CoA ligase activity	 14
condensed nuclear chromosome, centromeric region	 5
N-methylhydantoinase (ATP-hydrolyzing) activity	 17
RNA methylation	 46
miRNA binding	 1
chitin metabolic process	 64
amine transmembrane transporter activity	 5
receptor signaling protein serine/threonine kinase activity	 9
regulation of cyclin-dependent protein serine/threonine kinase activity	 22
methylglyoxal metabolic process	 1
telomeric DNA binding	 4
potassium channel regulator activity	 3
tumor necrosis factor receptor binding	 3
regulation of innate immune response	 17
glutamine biosynthetic process	 45
positive regulation of monooxygenase activity	 1
erythrocyte differentiation	 20
chordate embryonic development	 8
polyphosphatidylinositol phosphatase activity	 1
dendrite cytoplasm	 6
ribonucleoside triphosphate catabolic process	 1
cGMP transport	 2
tRNA transcription from RNA polymerase III promoter	 2
regulation of defense response to virus by virus	 35
positive regulation of epithelial cell differentiation	 12
diaminopimelate epimerase activity	 5
meiotic metaphase I	 1
NDP-glucose-starch glucosyltransferase activity	 2
heme biosynthetic process	 42
type III transforming growth factor beta receptor binding	 1
CTP metabolic process	 1
guanylate kinase activity	 11
retinoic acid biosynthetic process	 1
lateral line nerve glial cell development	 1
collagen V binding	 1
poly(A) RNA binding	 30
cellular potassium ion homeostasis	 8
regulation of mitotic cell cycle	 26
cardiac myofibril assembly	 67
regulation of smoothened signaling pathway	 10
phosphate ion transmembrane transporter activity	 26
negative regulation of germinal center formation	 1
positive regulation of neuron maturation	 1
dolichol-linked oligosaccharide biosynthetic process	 10
interleukin-1 beta secretion	 3
4-alpha-D-{(1->4)-alpha-D-glucano}trehalose trehalohydrolase activity	 5
titin binding	 25
mitochondrial DNA replication	 13
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	 16
female meiosis chromosome segregation	 4
RNA polymerase complex	 4
apical junction assembly	 3
dinucleotide repeat insertion binding	 1
ACF complex	 4
positive regulation of attachment of spindle microtubules to kinetochore	 1
epithelial cilium movement involved in determination of left/right asymmetry	 6
iron incorporation into metallo-sulfur cluster	 2
cytidine deaminase activity	 5
positive gravitropism	 1
2-dehydro-3-deoxy-phosphogluconate aldolase activity	 15
2-oxoglutarate metabolic process	 17
cellular response to organic substance	 21
ErbB-2 class receptor binding	 8
response to anesthetic	 3
malate synthase activity	 16
intrinsic apoptotic signaling pathway in response to osmotic stress	 2
negative regulation of T cell proliferation	 4
deoxyribonuclease activity	 7
mitochondrial envelope	 20
3'-nucleotidase activity	 3
eukaryotic translation initiation factor 2B complex	 2
beta-ketoacyl-acyl-carrier-protein synthase II activity	 8
oxalate catabolic process	 21
platelet-derived growth factor receptor signaling pathway	 17
glycogen biosynthetic process	 51
peptidyl-lysine monomethylation	 7
chloride channel activity	 31
centrosome separation	 4
glycine transmembrane transporter activity	 1
regulation of pathway-restricted SMAD protein phosphorylation	 4
ribonuclease D activity	 4
regulation of ion transmembrane transport	 135
CRD-mediated mRNA stability complex	 2
activin binding	 1
establishment of protein localization to organelle	 23
vitamin A metabolic process	 1
host cell cytoplasmic vesicle	 1
cellular response to estrogen stimulus	 1
mitochondrial outer membrane	 42
chaeta development	 6
testicular fusome organization	 1
precorrin-3B C17-methyltransferase activity	 1
negative regulation of microtubule polymerization or depolymerization	 3
1-phosphatidylinositol 4-kinase activity	 1
progesterone receptor binding	 1
retinal dehydrogenase activity	 3
proteasome assembly	 4
mRNA methyltransferase activity	 3
mammary gland morphogenesis	 1
sex determination	 2
L-cysteine catabolic process	 1
dextran 1,6-alpha-isomaltotriosidase activity	 4
systemic acquired resistance	 1
regulation of meiotic cell cycle	 2
righting reflex	 2
tRNA (guanine-N2-)-methyltransferase activity	 4
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	 87
retina morphogenesis in camera-type eye	 21
optic cup morphogenesis involved in camera-type eye development	 1
negative regulation of dauer larval development	 1
negative regulation of multicellular organism growth	 9
inositol phosphate dephosphorylation	 4
minus-end-directed organelle transport along microtubule	 2
protein histidine kinase activity	 151
synaptic cleft	 11
blastoderm segmentation	 6
negative regulation of cell adhesion involved in substrate-bound cell migration	 3
pancreas development	 22
cell cortex part	 1
oxidoreductase activity, acting on the CH-NH2 group of donors	 5
chlorophyll(ide) b reductase activity	 1
UFM1 conjugating enzyme activity	 1
4-nitrophenylphosphatase activity	 10
glucose catabolic process	 14
podosome	 10
formation of anatomical boundary	 1
quinolinate biosynthetic process	 1
6-phosphofructokinase activity	 31
positive regulation of innate immune response	 24
cytokinesis	 59
precatalytic spliceosome	 19
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	 2
androgen receptor signaling pathway	 11
hypoxanthine biosynthetic process	 1
lysosphingolipid and lysophosphatidic acid receptor activity	 1
regulation of receptor internalization	 9
peptidyl-lysine methylation	 1
aldehyde oxidase activity	 12
protein targeting to peroxisome	 4
ganglion mother cell fate determination	 2
piRNA metabolic process	 13
protein binding, bridging	 33
chromosome segregation	 214
NAD-dependent histone deacetylase activity (H4-K16 specific)	 2
histone H3-K27 demethylation	 1
SUMO activating enzyme activity	 4
oxidation-dependent protein catabolic process	 3
negative regulation of G1/S transition of mitotic cell cycle	 1
rRNA transcription	 13
alkylbase DNA N-glycosylase activity	 4
extracellular matrix constituent, lubricant activity	 3
STAT protein import into nucleus	 2
sporulation resulting in formation of a cellular spore	 6
cholinesterase activity	 5
NLS-dependent protein nuclear import complex	 1
regulation of mitotic anaphase	 1
cerebellar Purkinje cell layer development	 7
nitrilase activity	 1
negative regulation of cysteine-type endopeptidase activity	 1
B cell proliferation	 3
glycosphingolipid binding	 3
formate dehydrogenase complex	 29
spindle pole body	 15
hydroxymethyl-, formyl- and related transferase activity	 24
sphingolipid biosynthetic process	 5
ameboidal cell migration	 2
fibroblast growth factor binding	 1
succinyl-CoA metabolic process	 3
lipopolysaccharide receptor activity	 1
detection of biotic stimulus	 14
positive regulation of mesenchymal cell proliferation	 32
nuclear body	 9
proton-transporting V-type ATPase, V0 domain	 14
cellular iron ion homeostasis	 20
serine racemase activity	 1
chitin biosynthetic process	 3
regulation of cell wall (1->3)-beta-D-glucan biosynthetic process	 1
protein polymerization	 83
seryl-tRNA aminoacylation	 19
synaptic vesicle membrane organization	 1
endoplasmic reticulum unfolded protein response	 20
pyridoxamine-phosphate oxidase activity	 8
regulation of fat cell differentiation	 10
glucoside transmembrane transporter activity	 1
phosphatidylinositol dephosphorylation	 5
gamma-aminobutyric acid metabolic process	 7
carbohydrate catabolic process	 53
adenohypophysis development	 2
PCNA complex	 1
embryonic camera-type eye morphogenesis	 14
cardiac muscle fiber development	 64
proteoglycan biosynthetic process	 3
female germ-line cyst formation	 1
membrane biogenesis	 4
response to blue light	 1
eye blink reflex	 4
geranylgeranyl reductase activity	 10
protein deacetylation	 35
adherens junction assembly	 7
NADP binding	 213
positive regulation of steroid hormone biosynthetic process	 1
UDP-galactopyranose mutase activity	 2
methylcrotonoyl-CoA carboxylase activity	 14
cell killing	 20
neuron projection	 93
locomotory exploration behavior	 2
horsetail-astral microtubule array	 1
inositol hexakisphosphate 5-kinase activity	 1
photoreceptor cell axon guidance	 5
regulation of cholesterol biosynthetic process	 3
I band	 76
P granule	 24
citrate transport	 39
regulation of pharyngeal pumping	 1
glycosaminoglycan binding	 4
antibiotic catabolic process	 2
nuclear cyclin-dependent protein kinase holoenzyme complex	 1
negative regulation of interferon-gamma production	 12
ADP-ribose diphosphatase activity	 6
nuclear mRNA surveillance	 5
photosynthesis, light harvesting	 26
inflammatory response to antigenic stimulus	 2
nuclear inclusion body	 3
peptidyl-histidine phosphorylation	 141
glutamate metabolic process	 13
regulation of B cell differentiation	 1
regulation of immune response	 9
thigmotropism	 5
positive regulation of hair follicle cell proliferation	 2
dipeptide transporter activity	 1
positive regulation of prostaglandin-E synthase activity	 10
catabolic process	 1
phospholipid binding	 14
RNA methyltransferase activity	 45
negative regulation of glial cell apoptotic process	 4
histone dephosphorylation	 2
transcription factor binding	 214
phospholipase inhibitor activity	 2
cellular response to alkaloid	 1
neuron migration	 43
15-hydroxyprostaglandin dehydrogenase (NADP+) activity	 1
ceramidase activity	 9
regulation of protein binding	 5
very long-chain fatty acid metabolic process	 6
apical part of cell	 44
formation of translation preinitiation complex	 1
proteoglycan metabolic process	 8
engulfment of apoptotic cell	 3
potassium:chloride symporter activity	 4
inhibitory extracellular ligand-gated ion channel activity	 1
cytoplasmic exosome (RNase complex)	 2
exopolyphosphatase activity	 5
activation of JNKK activity	 3
amino acid transport	 93
response to salt stress	 39
male germ cell proliferation	 1
tubulin binding	 24
beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	 2
Golgi transport complex	 13
base-excision repair, AP site formation	 1
response to cycloheximide	 1
DRM complex	 1
protein import into peroxisome matrix, docking	 1
nuclear replication fork	 12
androgen receptor binding	 15
condensed nuclear chromosome outer kinetochore	 1
habenula development	 3
anthocyanin-containing compound metabolic process	 1
citrate metabolic process	 6
MAPK cascade involved in cell wall biogenesis	 1
proteasome regulatory particle assembly	 6
SNAP receptor activity	 14
penetration of zona pellucida	 1
spliceosomal complex	 113
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	 17
gastrulation with mouth forming first	 5
prephenate dehydratase activity	 17
male meiosis	 11
cytosolic part	 5
synaptic transmission, GABAergic	 2
beta-amylase activity	 6
sister chromatid cohesion	 14
xenobiotic-transporting ATPase activity	 61
hydroperoxide dehydratase activity	 5
histone H3-R26 methylation	 2
steroid 7-alpha-hydroxylase activity	 1
negative regulation of growth of symbiont in host	 15
negative regulation of tyrosine phosphorylation of Stat6 protein	 1
poly-pyrimidine tract binding	 1
response to steroid hormone stimulus	 23
protein O-linked glycosylation via threonine	 1
gamma-tubulin complex	 4
isoleucine-tRNA ligase activity	 41
